ts,T1,T10,T11,T12,T2,T3,T4,T5,T6,T7,T8,T9
2023-04-03 12:00:00,29.667,30.032999999999998,29.720999999999997,29.318,29.5245,29.359,29.367,29.1675,29.131,-8.96,29.286,30.574
2023-04-03 12:10:00,29.636000000000003,29.924500000000002,29.659,29.3025,29.447000000000003,29.3435,29.336000000000002,29.0125,28.991500000000002,-8.96,29.1,30.512
2023-04-03 12:20:00,30.504,30.916500000000003,30.682,30.2175,30.377,30.188499999999998,30.235000000000003,29.996500000000005,29.9625,-8.96,30.123,31.4815
2023-04-03 12:30:00,30.597,30.932,30.682,30.232499999999998,30.500999999999998,30.299,30.297000000000004,30.075,30.070999999999998,-8.96,30.185000000000002,31.5605
2023-04-03 12:40:00,31.360500000000002,31.679499999999997,31.462,30.970999999999997,31.125,30.965500000000002,30.9635,30.789499999999997,30.8025,-8.96,30.9755,32.289
2023-04-03 12:50:00,30.924,31.288999999999998,31.087,30.610500000000002,30.827999999999996,30.639999999999997,30.669,30.308999999999997,30.365500000000004,-8.96,30.5105,31.8705
2023-04-03 13:00:00,30.8145,31.1495,30.915499999999998,30.516,30.671999999999997,30.484999999999996,30.544999999999998,30.2935,30.334500000000002,-8.96,30.464,31.793
2023-04-03 13:10:00,32.0325,32.5535,32.3195,31.858999999999998,31.906,31.725,31.786,31.551,31.521000000000004,-8.96,31.7195,33.0795
2023-04-03 13:20:00,32.203500000000005,32.631,32.334999999999994,31.921,32.076499999999996,31.911,31.834500000000002,31.7565,31.7065,-8.96,31.797000000000004,33.203500000000005
2023-04-03 13:30:00,32.281,32.739999999999995,32.428000000000004,32.0295,32.1385,31.941999999999997,31.988999999999997,31.708499999999997,31.7705,-8.96,31.936500000000002,33.2965
2023-04-03 13:40:00,32.0795,32.523,32.2885,31.965999999999998,32.045500000000004,31.833499999999997,31.816000000000003,31.503999999999998,31.506999999999998,-8.96,31.703999999999997,33.095
2023-04-03 13:50:00,32.8235,33.3135,33.017,32.577,32.758500000000005,32.5775,32.585,32.303000000000004,32.282,-8.96,32.510000000000005,33.87
2023-04-03 14:00:00,33.259,33.685500000000005,33.5595,33.0745,33.146,32.9665,33.035000000000004,32.675,32.689,-8.96,32.82,34.3395
2023-04-03 14:10:00,33.760000000000005,34.197,34.0865,33.527,33.678,33.4525,33.5,33.109,33.1905,-8.96,33.3315,34.825
2023-04-03 14:20:00,33.507000000000005,33.840500000000006,33.621500000000005,33.245,33.348,33.1995,33.2365,32.814499999999995,32.894999999999996,-8.96,32.990500000000004,34.498000000000005
2023-04-03 14:30:00,34.492000000000004,34.9255,34.7065,34.122,34.427,34.184000000000005,34.150999999999996,33.935,33.952,-8.96,34.1065,35.461
2023-04-03 14:40:00,34.4145,34.785999999999994,34.582499999999996,34.153000000000006,34.2565,34.029,34.104499999999994,33.7455,33.826499999999996,-8.96,33.936,35.43
2023-04-03 14:50:00,34.492000000000004,35.065,34.909,34.400999999999996,34.458000000000006,34.2615,34.290499999999994,33.904,34.04350000000001,-8.96,34.091,35.6625
2023-04-03 15:00:00,35.0345,35.561,35.4265,34.966,34.9075,34.7575,34.786500000000004,34.3435,34.45399999999999,-8.96,34.618,36.143
2023-04-03 15:10:00,35.143,35.53,35.2735,34.936,35.047000000000004,34.804,34.894999999999996,34.607000000000006,34.673500000000004,-8.96,34.7575,36.236000000000004
2023-04-03 15:20:00,34.941500000000005,35.2975,35.114,34.6805,34.8455,34.695499999999996,34.647000000000006,34.4055,34.534,-8.96,34.556,35.957
2023-04-03 15:30:00,35.4375,35.716,35.538,35.092,35.310500000000005,35.1295,35.174,34.855000000000004,34.9215,-8.96,35.052,36.4065
2023-04-03 15:40:00,35.5775,36.212,36.0185,35.6355,35.5895,35.3775,35.484,34.9325,34.999,-8.96,35.253499999999995,36.8095
2023-04-03 15:50:00,35.9095,36.3515,36.096,35.790499999999994,35.8375,35.641,35.6415,35.257999999999996,35.3555,-8.96,35.5015,36.918
2023-04-03 16:00:00,35.971500000000006,36.2895,36.080499999999994,35.759499999999996,35.822,35.641,35.673,35.3365,35.465500000000006,-8.96,35.5945,36.918
2023-04-03 16:10:00,36.424,36.832,36.623000000000005,36.3375,36.32000000000001,36.0905,36.1745,35.68150000000001,35.8425,-8.96,35.9665,37.399
2023-04-03 16:20:00,36.3775,36.816500000000005,36.7005,36.3375,36.3665,36.137,36.2065,35.632000000000005,35.826,-8.96,35.982,37.3995
2023-04-03 16:30:00,36.548,36.9405,36.93300000000001,36.557,36.46,36.2765,36.393,35.711,35.951499999999996,-8.96,36.012,37.65
2023-04-03 16:40:00,36.021,36.181,36.1115,35.837,35.884,35.641,35.718,35.227,35.4795,-8.96,35.6255,36.918
2023-04-03 16:50:00,37.183499999999995,37.6845,38.083,38.35,37.1945,36.933,37.089999999999996,36.4765,36.7915,-8.96,36.811,38.2425
2023-04-03 17:00:00,37.6175,38.413,38.517,38.553,37.5835,37.3865,37.54,36.694,36.947,-8.96,37.119,38.664
